;time_plan;line;dest;delay;request;rideID
0;2022-10-27T20:47:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 20:46:18;17930
1;2022-10-27T20:46:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-27 20:46:18;33076
2;2022-10-27T20:47:00+02:00;M76;U Walther-Schreiber-Platz;3.0;2022-10-27 20:46:18;28854
8;2022-10-27T20:57:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 20:56:19;28854
9;2022-10-27T21:00:00+02:00;X71;U Alt-Mariendorf;3.0;2022-10-27 20:56:19;35268
10;2022-10-27T21:06:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;33073
11;2022-10-27T21:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;17930
12;2022-10-27T21:08:00+02:00;M76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;28941
