;time_plan;line;dest;delay;request;rideID
56;2022-10-31T21:56:00+01:00;FEX;Flughafen BER - Terminal 1-2;0.0;2022-10-31 21:55:38;311
61;2022-10-31T21:57:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 21:55:38;1775
60;2022-10-31T21:57:00+01:00;245;S+U Zoologischer Garten;1.0;2022-10-31 21:58:39;10311
59;2022-10-31T21:57:00+01:00;123;Saatwinkler Damm/Mäckeritzwiesen;0.0;2022-10-31 21:55:38;9727
58;2022-10-31T21:57:00+01:00;S7;S Westkreuz;0.0;2022-10-31 21:55:38;21261
57;2022-10-31T21:57:00+01:00;120;S+U Wittenau -> Bus 220;0.0;2022-10-31 21:55:38;3120
62;2022-10-31T21:58:00+01:00;RE4;Rathenow, Bhf;10.0;2022-10-31 22:07:42;62185
63;2022-10-31T21:58:00+01:00;U5;Hönow;0.0;2022-10-31 21:58:39;12928
64;2022-10-31T21:58:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 21:58:39;20372
65;2022-10-31T21:59:00+01:00;M5;Moabit, Lüneburger Str.;-3.0;2022-10-31 21:58:39;3210
66;2022-10-31T22:00:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 21:58:39;27178
67;2022-10-31T22:00:00+01:00;M10;Moabit, Lüneburger Str.;1.0;2022-10-31 22:01:40;1920
68;2022-10-31T22:00:00+01:00;245;Mitte, Robert-Koch-Platz;0.0;2022-10-31 21:58:39;10410
69;2022-10-31T22:01:00+01:00;S5;S Strausberg Nord, in Mahlsdorf bitte umsteigen;0.0;2022-10-31 22:01:40;19047
70;2022-10-31T22:02:00+01:00;S9;S Spandau;0.0;2022-10-31 22:01:40;24388
71;2022-10-31T22:02:00+01:00;M85;S Lichterfelde Süd via Hindenburgdamm;0.0;2022-10-31 22:01:40;29372
72;2022-10-31T22:02:00+01:00;142;S Ostbahnhof via U Rosenthaler Platz;0.0;2022-10-31 22:01:40;15579
73;2022-10-31T22:03:00+01:00;S9;Flughafen BER - Terminal 1-2;0.0;2022-10-31 22:01:40;23885
74;2022-10-31T22:03:00+01:00;147;U Märkisches Museum via S+U Friedrichstr.;1.0;2022-10-31 22:04:41;15754
75;2022-10-31T22:07:00+01:00;S7;S Potsdam Hauptbahnhof;3.0;2022-10-31 22:10:43;20854
76;2022-10-31T22:07:00+01:00;245;U Turmstr.;0.0;2022-10-31 22:07:42;10111
77;2022-10-31T22:07:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 22:07:42;1775
80;2022-10-31T22:08:00+01:00;M5;Hohenschönhausen, Zingster Str.;0.0;2022-10-31 22:07:42;3267
79;2022-10-31T22:08:00+01:00;U5;Hönow;0.0;2022-10-31 22:07:42;12929
78;2022-10-31T22:08:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 22:07:42;20985
81;2022-10-31T22:10:00+01:00;245;Mitte, Robert-Koch-Platz;1.0;2022-10-31 22:10:43;10468
82;2022-10-31T22:10:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 22:10:43;27178
83;2022-10-31T22:10:00+01:00;120;Moabit, Seydlitzstr.;1.0;2022-10-31 22:10:43;13183
84;2022-10-31T22:10:00+01:00;M10;Moabit, Lüneburger Str.;1.0;2022-10-31 22:10:43;1920
